ID,Nombre,Edad,Género,Ciudad,Comentario,Nivel_gravedad,Frecuencia_similar,Personas_afectadas,Categoría del problema,Nivel de urgencia,Fecha del reporte,Acceso a internet,Atención previa del gobierno,Zona rural
1,Jorge,23.0,Otro,Manizales,las calles están muy oscuras y peligrosas.,GRAVE,10.0,10.0,Salud,Urgente,2023-08-11,0,1,0
7,Ana,,M,Medellín,la contaminación del río está aumentando.,MODERADO,10.0,10.0,Salud,No urgente,2023-07-20,0,1,0
10,María,76.0,F,Cali,faltan médicos en el centro de salud.,MODERADO,10.0,10.0,Salud,No urgente,2024-09-21,0,1,1
13,Laura,46.0,Otro,Medellín,falta agua potable en varias casas.,GRAVE,10.0,10.0,Salud,Urgente,2023-11-08,1,0,0
16,Camilo,77.0,Otro,Manizales,faltan médicos en el centro de salud.,GRAVE,10.0,10.0,Salud,Urgente,2023-09-01,0,1,1
17,Valentina,22.0,F,Santa Marta,necesitamos más acceso a internet en la zona.,MODERADO,10.0,10.0,Salud,No urgente,2024-03-15,1,1,1
18,Juan,71.0,Otro,Barranquilla,la contaminación del río está aumentando.,MODERADO,10.0,10.0,Salud,No urgente,2023-12-21,0,1,0
20,Juan,52.0,M,Medellín,queremos más presencia policial.,GRAVE,10.0,10.0,Salud,Urgente,2024-06-18,0,0,1
21,Jorge,59.0,M,Cali,faltan médicos en el centro de salud.,GRAVE,10.0,10.0,Salud,Urgente,2024-07-21,0,0,1
31,Ana,47.0,M,Medellín,queremos más presencia policial.,GRAVE,10.0,10.0,Salud,Urgente,2024-11-24,1,0,1
42,Ana,19.0,Otro,Cúcuta,las calles están muy oscuras y peligrosas.,MODERADO,10.0,10.0,Salud,No urgente,2024-08-26,0,0,1
48,Pedro,48.0,Otro,Manizales,faltan médicos en el centro de salud.,MODERADO,10.0,10.0,Salud,No urgente,2024-07-13,1,1,1
49,Laura,32.0,M,Cúcuta,las basuras no se recogen a tiempo.,GRAVE,10.0,10.0,Salud,Urgente,2024-04-26,0,0,0
55,Sofía,42.0,F,Bogotá,necesitamos más acceso a internet en la zona.,GRAVE,10.0,10.0,Salud,Urgente,2024-08-12,1,0,0
57,Jorge,53.0,F,Pereira,necesitamos más acceso a internet en la zona.,GRAVE,10.0,10.0,Salud,Urgente,2023-12-03,1,1,0
61,Pedro,42.0,Otro,Medellín,necesitamos más acceso a internet en la zona.,MODERADO,10.0,10.0,Salud,No urgente,2023-10-24,0,1,0
62,Valentina,23.0,M,Cartagena,las basuras no se recogen a tiempo.,MODERADO,10.0,10.0,Salud,No urgente,2024-08-28,1,0,0
73,Sofía,32.0,Otro,Cali,la contaminación del río está aumentando.,GRAVE,10.0,10.0,Salud,Urgente,2024-10-07,0,0,1
84,Laura,76.0,F,Santa Marta,la contaminación del río está aumentando.,GRAVE,10.0,10.0,Salud,Urgente,2024-09-03,1,1,0
100,Sofía,,F,Cartagena,queremos más presencia policial.,GRAVE,10.0,10.0,Salud,Urgente,2024-08-17,0,0,1
106,Ana,19.0,F,Medellín,faltan médicos en el centro de salud.,GRAVE,10.0,10.0,Salud,Urgente,2023-09-07,1,1,1
110,Juan,27.0,M,Cúcuta,faltan médicos en el centro de salud.,GRAVE,10.0,10.0,Salud,Urgente,2023-01-12,1,0,0
